Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
** On Thursday , the Indonesian rupiah was at 2,343.00 / 43.50 in early trading against an opening of 2,342.75 / 43.50 .	O O O O O S-MISC O O O O O O O O O O O O O O O O O
ISS said that the deal included ISS Inc operations in Mexico and the sale of ISS Inc interests in Brazil would be discussed .	S-ORG O O O O O B-ORG E-ORG O O S-LOC O O O O B-ORG E-ORG O O S-LOC O O O O
The director general of the air traffic service Valentin Valkov said last Friday that a controllers ' strike would be illegal .	O O O O O O O O B-PER E-PER O O O O O O O O O O O O
Medicare would be at risk of withering on the vine .	S-MISC O O O O O O O O O O
AKRON , Ohio 1996-08-23	S-LOC O S-LOC O
Defending champions Ajax Amsterdam were defeated 2-0 loss away to Heerenveen on Saturday .	O O B-ORG E-ORG O O O O O O S-ORG O O O
Asif Mujtaba not out 1	B-PER E-PER O O O
We 've never seen anything so bad , " he said in an interview in his office , unlit since the government cut off electricity because of unpaid power bills .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Emnid Aug 18 41.0 34.0 6.0 10.0 5.0	S-ORG O O O O O O O
The total number of victims was still unknown .	O O O O O O O O O
SOCCER - PSV BEAT GRONINGEN 4-1 TO PULL AWAY FROM AJAX .	O O S-ORG O S-ORG O O O O O S-ORG O
The cost of the U.N. staff overseeing the distribution of food and other supplies was estimated to cost $ 31 million .	O O O O S-ORG O O O O O O O O O O O O O O O O O
In Edinburgh : Hearts ( Scotland ) 1 Red Star Belgrade	O S-LOC O S-ORG O S-LOC O O B-ORG I-ORG E-ORG
" With equal measures of ignorance and audacity this two-headed monster of Dole and Gingrich has been launching an all out assault on decades of progress of behalf of working men and women , " Gore said to whoops of " 12 more years . "	O O O O O O O O O O O O S-PER O S-PER O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O
) ser . '	O O O O
The two buses collided head on at 5 o'clock this morning on the road between the towns of Rousse and Veliko Tarnovo , police said .	O O O O O O O O O O O O O O O O O O S-LOC O B-LOC E-LOC O O O O
Played Friday :	O O O
Estonia assembly fails to elect state president .	S-LOC O O O O O O O
Iraq retaliated then by expelling a junior administrator working in the Jordanian embassy in Baghdad but has continued its policy of trying to avoid public conflicts with Jordan -- its only secure route to the rest of the world .	S-LOC O O O O O O O O O O S-MISC O O S-LOC O O O O O O O O O O O O S-LOC O O O O O O O O O O O O
Trade data are customs-cleared , published by economy ministry .	O O O O O O O O O O
pro-baseball games played on Friday .	O O O O O O
-- Reuter London Newsroom +44 171 542 7658	O B-ORG I-ORG E-ORG O O O O
BALTIMORE 1996-08-22	S-LOC O
( Sweden ) , Roger Chapman , Mark Davis , Pierre Fulke ( Sweden ) ,	O S-LOC O O B-PER E-PER O B-PER E-PER O B-PER E-PER O S-LOC O O
" After examining the dossier of the Burundi-Central Africa match , we decided ...	O O O O O O O B-MISC E-MISC O O O O O
Some 850 refugees have landed in recent weeks at the port of Rameswaram in the southern Indian state of Tamil Nadu , home to 50 million Tamil-speaking people , port officials say .	O O O O O O O O O O O O S-LOC O O O S-MISC O O B-LOC E-LOC O O O O O S-MISC O O O O O O
Richard Hadlee ( New Zealand ) 431 , 86	B-PER E-PER O B-LOC E-LOC O O O O
2 - Conchita Martinez ( Spain ) beat Nathalie Tauziat ( France )	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
LONDON 1996-08-28	S-LOC O
The company said the 90 percent owned Trax et al Morinville 10-23 logged 28 feet of productive Leduc Reef at 5,350 feet .	O O O O O O O B-MISC I-MISC I-MISC I-MISC E-MISC O O O O O B-LOC E-LOC O O O O
This is n't San Diego ( site of the Republican convention ) , " Mrs. Brady joked to her husband , who was serving as Reagan 's press secretary when he was shot .	O O O B-LOC E-LOC O O O O S-MISC O O O O O S-PER O O O O O O O O O S-PER O O O O O O O O
Seiki Okuda ( Japan ) 81 70 72 75	B-PER E-PER O S-LOC O O O O O
Tranmere 3 Grimsby 2	S-ORG O S-ORG O
Played Friday :	O O O
OFFICIAL JOURNAL CONTENTS - OJ L 218 OF AUGUST 28 , 1996 .	B-ORG E-ORG O O S-ORG O O O O O O O O
David Rikl ( Czech Republic ) vs. Hicham Arazi ( Morocco )	B-PER E-PER O B-LOC E-LOC O O B-PER E-PER O S-LOC O
Rotherham 1 Shrewsbury 2	S-ORG O S-ORG O
She took the name of Teresa , after France 's Saint Therese of the Child Jesus .	O O O O O S-PER O O S-LOC O O S-PER O O O S-PER O
8-0-33-0 , Tendulkar 6-0-29-1 , Kapoor 10-2-51-0 , Jadeja	O O S-PER O O S-PER O O S-PER
Coritiba 5 2 0 3 3 9 6	S-ORG O O O O O O O
" Collectivisation brought us a lot of pain .	O O O O O O O O O
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
- Karachi Stock Exchange index falls by 7.84 points .	O B-ORG I-ORG E-ORG O O O O O O
52 ; A. Cowan 5-68 ) .	O O B-PER E-PER O O O
EASTERN DIVISION	B-MISC E-MISC
" It is in the contract that we pay ( Kingston ) $ 900 million by September 5 , " he said , adding that Softbank had already started making forward transactions to buy dollars .	O O O O O O O O O O S-ORG O O O O O O O O O O O O O O S-ORG O O O O O O O O O O
- IP / 96 / 804 : Commission approves acquisition of Pao de Acucar by Auchan .	O O O O O O O S-ORG O O O B-ORG I-ORG E-ORG O S-ORG O
3. Emilio Valle ( Cuba ) 13.33	O B-PER E-PER O S-LOC O O
RTRS - Golf : Norman sacks his coach after disappointing season .	S-ORG O O O S-PER O O O O O O O
The curtain-raising victories by Hingis and Olsza provided a ringing endorsement for the newest wave of women 's players coming up from the junior ranks .	O O O O S-PER O S-PER O O O O O O O O O O O O O O O O O O O
The PKK often uses bases in northern Iraq in its fight for autonomy or independence in southeast Turkey .	O S-ORG O O O O O S-LOC O O O O O O O O O S-LOC O
Government bond yields : ( 2-yr 1998 / J ) 25.49,(3-yr 1999 / c ) 24.44	O O O O O O O O O O O O O O O O
-- Amsterdam newsroom +31 20 504 5000 , Fax +31 20 504 5040	O S-LOC O O O O O O O O O O O
Scorers :	O O
soccer matches played over the weekend and Tuesday :	O O O O O O O O O
Harelbeke 4 1 1 2 6 7 4	S-ORG O O O O O O O
But Medvedev 's ranking slowly began to drop last year as he struggled with a wrist injury .	O S-PER O O O O O O O O O O O O O O O O
Bumping Agassi up to the sixth seeding avoided the possibility that he would run into Sampras as early as the quarter-finals , but they could lock horns in the semis .	O S-PER O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O
Sumitomo and CNIEC have made no comments on the talk and Chinese traders said they know nothing of such an arrangement .	S-ORG O S-ORG O O O O O O O O S-MISC O O O O O O O O O O
" If the ( Tour 's tournament ) committee decides to change the rule I would not be against it , " said Ballesteros , Olazabal 's compatriot and Ryder Cup captain .	O O O O S-MISC O O O O O O O O O O O O O O O O O O S-PER O S-PER O O O B-MISC E-MISC O O
Mickelson 's victory gave him a 10 year exemption to the PGA Tour .	S-PER O O O O O O O O O O B-MISC E-MISC O
Women 's singles	O O O
This is the first time the former Soviet republic has had to convene such a group .	O O O O O O O S-MISC O O O O O O O O O
Pakistan first innings ( overnight 339-4 )	S-LOC O O O O O O
CAIRO 1996-08-29	S-LOC O
The Italian cabinet on Wednesday granted a reprieve for media mogul Silvio Berlusconi 's Mediaset television empire with a decree extending the current legal framework for television stations until January 31 , 1997 .	O S-MISC O O O O O O O O O B-PER E-PER O S-ORG O O O O O O O O O O O O O O O O O O O
Total ( for no wicket ) 74	O O O O O O O
MSK Zilina 4 0 0 4 0 6 0	B-ORG E-ORG O O O O O O O
The rates are :	O O O O
RALLYING - KANKKUNEN IN COMMAND AS MCRAE ROLLS OUT .	O O S-PER O O O S-PER O O O
Interest 2.78 vs 2.69	O O O O
Scorers : Lubarskij ( 50th minute ) , Valkucak ( 54th )	O O S-PER O O O O O S-PER O O O
8. Sigurd Njerve ( Norway ) 16.35	O B-PER E-PER O S-LOC O O
-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4	O B-PER E-PER O B-ORG E-ORG O O
JOHANNESBURG 1996-08-28	S-LOC O
He again dismissed charges that he had distanced himself from the black community during his successful football and commercial career , only to seek their support after he faced murder charges .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Volendam 0 .	S-ORG O O
Mushtaq Ahmed c Crawley b Mullally 2	B-PER E-PER O S-PER O S-PER O
Twenty people were injured on Wednesday when the EgyptAir Boeing 707 overshot the runway , caught fire , hit a taxi and skipped across a road onto a railway line .	O O O O O O O O S-ORG S-MISC O O O O O O O O O O O O O O O O O O O O O
Allen said the commission could announce the names of subpoenaed persons on Monday next week .	S-PER O O O O O O O O O O O O O O O
7. Ozers 8	O S-PER O
A shot was fired , but onlookers managed to seize the gun , the radio said .	O O O O O O O O O O O O O O O O O
6-4 6-4 6-3	O O O
SOCCER - JONK RETURNS TO DUTCH SQUAD FOR BRAZIL FRIENDLY .	O O S-PER O O S-MISC O O S-LOC O O
The unlisted bank earlier announced a 1996 interim net profit of 853 million guilders , up 21.5 percent on the 702 million guilders reported in the first half of 1995 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
CINCINNATI AT ATLANTA	S-ORG O S-LOC
Forfar 3 Inverness 1	S-ORG O S-ORG O
Mostostal Z shareholders approve bonds .	B-ORG E-ORG O O O O
Valletta - Gilbert Agius ( 24th )	S-LOC O B-PER E-PER O O O
Chelsea , 16 , was at President Bill Clinton 's side as he rode the rails through parts of West Virginia , Kentucky and Ohio , and was introduced at every stop .	S-PER O O O O O O B-PER E-PER O O O O O O O O O O B-LOC E-LOC O S-LOC O S-LOC O O O O O O O O
BALTIMORE 10 Seattle 5	S-ORG O S-ORG O
In Los Angeles , Tom Candiotti allowed two runs in seven innings and singled home the go-ahead run and Mike Piazza and Todd Hollandsworth drove in two runs apiece as the Los Angeles Dodgers defeated the New York Mets 7-5 .	O B-LOC E-LOC O B-PER E-PER O O O O O O O O O O O O O B-PER E-PER O B-PER E-PER O O O O O O O B-ORG I-ORG E-ORG O O B-ORG I-ORG E-ORG O O
Twente Enschede 1 ( Hoogma 30th ) Roda JC Kerkrade 1 ( Roelofsen	B-ORG E-ORG O O S-PER O O B-ORG I-ORG E-ORG O O S-PER
NUREMBERG , Germany 1996-08-28	S-LOC O S-LOC O
Clinton was to deliver his acceptance speech at the final session of the Democratic Convention opening at 8 p.m. EDT ( midnight GMT ) .	S-PER O O O O O O O O O O O O B-MISC E-MISC O O O O O O O S-MISC O O
CURRENCIES	O
PARIS 1996-08-28	S-LOC O
" The United States reiterates its full commitment to the implementation " of the accords signed by the two countries in 1994 and 1995 , said the statement by spokesman Glyn Davies .	O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O
SOCCER - ENGLISH FIRST DIVISION RESULTS / STANDINGS .	O O S-MISC O O O O O O
But the pick of the 13-times champions ' goals came from Ruggiero Rizzitelli , who beat three defenders to put Bayern 4-1 up .	O O O O O O O O O O O B-PER E-PER O O O O O O O S-ORG O O O
The former Yugoslav national army consumed 90 percent of Zastava 's pre-war output , but like the rest of Yugoslavia 's economy , the new army of Serbia and Montenegro is crippled by lack of funds .	O O S-MISC O O O O O O S-ORG O O O O O O O O O S-LOC O O O O O O O S-LOC O S-LOC O O O O O O O
5 - Andrei Medvedev ( Ukraine ) beat Karol Kucera ( Slovakia ) 7-6	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O
CYCLING - BALLANGER KEEPS SPRINT TITLE IN STYLE .	O O S-PER O O O O O O
Firsy day	O O
Germany , driving a Ferrari , won the Belgian Grand Prix motor	S-LOC O O O S-ORG O O O B-MISC I-MISC E-MISC O
Aggregate score 2-2 .	O O O O
SV Hamburg 4 2 0 2 7 7 6	B-ORG E-ORG O O O O O O O
15-14 15-9	O O
Paris Saint-Germain 4 3 1 0 4 0 10	B-ORG E-ORG O O O O O O O
Fixed business and farm lending rates rates were left unchanged although they were under review .	O O O O O O O O O O O O O O O O
Western Suburbs 21 11 1 9 382 426 23	B-ORG E-ORG O O O O O O O
7. Olga Chernyavskaya ( Russia ) 60.46	O B-PER E-PER O S-LOC O O
Nearly 400 members of an outlawed student group were arrested after violent protests demanding reunification with communist North Korea were crushed by riot police at a Seoul university this month .	O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O S-LOC O O O O
The airport spokesman said the six hijackers , who police said were armed with grenades and possibly other explosives , were believed to be Iraqi nationals .	O O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O
He did not say how they had contracted the illness .	O O O O O O O O O O O
Chesterfield 1 Walsall 0	S-ORG O S-ORG O
If not for the informant , the painted parrots ' true colours would not have been known for six months , he said .	O O O O O O O O O O O O O O O O O O O O O O O O
Stockport 0 Notts County 0	S-ORG O B-ORG E-ORG O
Otelul Galati 1 F.C. Arges Dacia Pitesti 0	B-ORG E-ORG O B-ORG I-ORG I-ORG E-ORG O
M. Bevan c Campbell b Brandes 9	B-PER E-PER O S-PER O S-PER O
Hawthorn 21 10 1 10 1791 1820 98.4 42	S-ORG O O O O O O O O
* The Federal Trade Commission and Justice Department issue new guidelines for formation of doctors ' networks .	O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O
Fernandez ( 12-8 ) scattered six hits .	S-PER O O O O O O O
Adrian Warner	B-PER E-PER
Asa Carlsson ( Sweden ) beat Gloria Pizzichini ( Italy ) 3-6 6-1 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
Japanese shipments of aluminium mill products in July surged 8.9 percent over the same month last year to 224,609 tonnes , while production rose 6.4 percent to 222,457 tonnes , according to preliminary data released on Tuesday by the Japan Aluminium Federation .	S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O
North Queensland 21 6 0 15 266 593 12	B-ORG E-ORG O O O O O O O
The 30-share DAX index in Frankfurt closed up 4.32 at 2,563.16 .	O O S-MISC O O S-LOC O O O O O O
Mark Gleeson	B-PER E-PER
Montreal 5 SAN FRANCISCO 4	S-ORG O B-ORG E-ORG O
Aggregate 2-2 .	O O O
( Corrects that Habsudova is sixth seed ) .	O O O S-PER O O O O O
Montpellier 4 0 2 2 3 5 2	S-ORG O O O O O O O
The Airbus A310 was diverted first to Cyprus , then to Britain .	O B-MISC E-MISC O O O O S-LOC O O O S-LOC O
AZ Alkmaar 2 0 1 1 0 2 1	B-ORG E-ORG O O O O O O O
Some minor damage had been reported in the spa town of Hanmer .	O O O O O O O O O O O S-LOC O
Cleveland lost for just the second time in six games .	S-ORG O O O O O O O O O O
The French procedure was expected to be completed before October 2 , when the National Assembly is to reconvene after a summer break , but the European procedure was expected to take longer .	O S-MISC O O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O S-MISC O O O O O O O
1605 GMT	O S-MISC
Kimberly Po ( U.S. ) beat 10 - Kimiko Date ( Japan ) 6-2 7-5	B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O O
Mark Knowles ( Bahamas ) beat Marcelo Filippini ( Uruguay ) 6-3 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
-- Bonn newsroom , +49 228 2609760	O S-LOC O O O O O
A spokeswoman for Christie said the former Olympic 100 metres champion had agreed to captain a quality quartet which also includes Canada 's Donovan Bailey , the current Olympic champion and world record holder , and Namibian Frankie Fredericks .	O O O S-PER O O O S-MISC O O O O O O O O O O O O O S-LOC O B-PER E-PER O O O S-MISC O O O O O O O O B-PER E-PER O
0-1 .	O O
Philadelphia 7 SAN DIEGO 4	S-ORG O B-ORG E-ORG O
Bahia 2 Atletico Paranaense 0	S-ORG O B-ORG E-ORG O
Olympiakos of Greece beat Yugoslavia 's Red Star 71-57 ( halftime 40-34 ) in the first match of an international club basketball tournament on Wednesday .	S-ORG O S-LOC O S-LOC O B-ORG E-ORG O O O O O O O O O O O O O O O O O O
